泰国毛丹,13.00,13.50,14.00,进口水果,斤,2021-05-31
越南火龙果,4.00,4.50,5.00,进口水果,斤,2021-05-31
泰国龙眼,9.00,10.00,11.00,进口水果,斤,2021-05-31
泰国椰青（个）,10.00,10.50,11.00,进口水果,斤,2021-05-31
新西兰猕猴桃,14.00,15.00,16.00,进口水果,斤,2021-05-31
比利时梨,10.00,11.00,12.00,进口水果,斤,2021-05-31
南非西柚,12.00,13.00,14.00,进口水果,斤,2021-05-31
胡桃,35.00,40.00,45.00,干果,斤,2021-05-31
国产杏仁,20.00,25.00,30.00,干果,斤,2021-05-31
普核桃,5.00,10.00,15.00,干果,斤,2021-05-31
长寿果,25.00,30.00,35.00,干果,斤,2021-05-31
绿茶南瓜子,15.00,16.50,18.00,干果,斤,2021-05-31
葡萄干,10.00,20.00,30.00,干果,斤,2021-05-31
杏核,7.00,9.50,12.00,干果,斤,2021-05-31
桂圆,9.00,12.00,15.00,干果,斤,2021-05-31
花生,6.00,6.75,7.50,干果,斤,2021-05-31
蚕豆,5.00,6.50,8.00,干果,斤,2021-05-31
生腰果,30.00,35.00,40.00,干果,斤,2021-05-31
青豆,5.00,5.50,6.00,干果,斤,2021-05-31
莲子,22.00,23.50,25.00,干果,斤,2021-05-31
情人梅,12.00,13.50,15.00,干果,斤,2021-05-31
核桃仁,18.00,21.50,25.00,干果,斤,2021-05-31
白薯干,7.00,10.00,13.00,干果,斤,2021-05-31
毛榛子,18.00,21.50,25.00,干果,斤,2021-05-31
杏肉,12.00,16.00,20.00,干果,斤,2021-05-31
话梅,8.00,9.00,10.00,干果,斤,2021-05-31
松子,50.00,55.00,60.00,干果,斤,2021-05-31
羊腰窝,40.00,40.00,40.00,羊肉类,斤,2021-05-31
羊肉片,40.00,41.50,43.00,羊肉类,斤,2021-05-31
羊腰子（挂油）,15.00,15.50,16.00,羊肉类,个,2021-05-31
羊蝎子,16.00,16.50,17.00,羊肉类,斤,2021-05-31
羊蝎子（精品）,30.00,30.50,31.00,羊肉类,斤,2021-05-31
羊排骨,30.00,30.00,30.00,羊肉类,斤,2021-05-31
羊尾巴油,9.00,9.00,9.00,羊肉类,斤,2021-05-31
羊小腿（羊棒）,24.00,24.50,25.00,羊肉类,斤,2021-05-31
羊上脑,40.00,40.00,40.00,羊肉类,斤,2021-05-31
羊骨头,10.00,10.00,10.00,羊肉类,斤,2021-05-31
羊腩,30.00,30.00,30.00,羊肉类,斤,2021-05-31
羊里脊,40.00,40.00,40.00,羊肉类,斤,2021-05-31
淘汰鸡（干净膛）,11.00,11.00,11.00,禽肉类,斤,2021-05-31
淘汰鸡（净膛）,10.00,10.00,10.00,禽肉类,斤,2021-05-31
仔鸡（净膛）,7.50,7.50,7.50,禽肉类,斤,2021-05-31
肉鸡,6.50,6.50,6.50,禽肉类,斤,2021-05-31
鸡胸,7.50,7.50,7.50,禽肉类,斤,2021-05-31
鸡翅,10.00,10.50,11.00,禽肉类,斤,2021-05-31
鸡翅中,21.00,21.00,21.00,禽肉类,斤,2021-05-31
鸡边腿,7.00,7.00,7.00,禽肉类,斤,2021-05-31
后臀尖（肥）,9.00,9.50,10.00,猪肉类,斤,2021-05-31
五花肉（瘦）,13.00,13.50,14.00,猪肉类,斤,2021-05-31
五花肉（肥）,12.00,12.50,13.00,猪肉类,斤,2021-05-31
纯通脊,12.00,12.50,13.00,猪肉类,斤,2021-05-31
通脊,10.00,11.00,12.00,猪肉类,斤,2021-05-31
纯瘦肉,11.00,11.50,12.00,猪肉类,斤,2021-05-31
前肘,11.00,11.50,12.00,猪肉类,斤,2021-05-31
后肘,9.00,10.00,11.00,猪肉类,斤,2021-05-31
猪尾巴,43.00,44.00,45.00,猪肉类,斤,2021-05-31
猪蹄,18.00,18.00,18.00,猪肉类,斤,2021-05-31
纯排骨,21.00,22.00,23.00,猪肉类,斤,2021-05-31
纯腔骨,9.00,10.50,12.00,猪肉类,斤,2021-05-31
腔排骨,14.00,15.00,16.00,猪肉类,斤,2021-05-31
棒骨,10.00,10.50,11.00,猪肉类,斤,2021-05-31
猪头,13.00,13.50,14.00,猪肉类,斤,2021-05-31
猪耳,26.00,26.00,26.00,猪肉类,斤,2021-05-31
猪肚,19.00,19.50,20.00,猪肉类,斤,2021-05-31
猪板油,10.00,10.50,11.00,猪肉类,斤,2021-05-31
肥膘肉,7.00,7.50,8.00,猪肉类,斤,2021-05-31
猪腰子,20.00,20.50,21.00,猪肉类,斤,2021-05-31
南豆腐（屉）,1.80,1.80,1.80,豆制品,斤,2021-05-31
白玉北豆腐,4.00,4.00,4.00,豆制品,盒,2021-05-31
香香北豆腐,3.00,3.00,3.00,豆制品,盒,2021-05-31
白玉南豆腐,5.50,5.50,5.50,豆制品,盒,2021-05-31
豆腐丝,5.00,5.00,5.00,豆制品,斤,2021-05-31
精品豆腐丝,6.00,6.00,6.00,豆制品,袋,2021-05-31
豆腐皮,5.50,5.50,5.50,豆制品,斤,2021-05-31
豆腐干,4.50,4.50,4.50,豆制品,斤,2021-05-31
精品豆腐干,5.00,5.00,5.00,豆制品,袋,2021-05-31
豆腐泡,5.50,5.50,5.50,豆制品,斤,2021-05-31
精品豆腐泡,5.00,5.00,5.00,豆制品,袋,2021-05-31
白玉内酯豆腐,2.50,2.50,2.50,豆制品,盒,2021-05-31
香香内脂豆腐,1.50,1.50,1.50,豆制品,盒,2021-05-31
鲤鱼,12.00,12.00,12.00,750g-1000g,斤,2021-05-31
鲤鱼,12.00,12.00,12.00,>1000g,斤,2021-05-31
